Id,IsDeleted,CampaignId,LeadId,ContactId,Status,HasResponded,IsPrimary,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,FirstRespondedDate
00v1R00001RQwNbQAL,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 8:04,2018-10-24
00v1R00001RQwNgQAL,0,70136000000m1cHAAQ,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 8:05,2018-10-24
00v1R00001RQkhwQAD,0,701360000011bW1AAI,,0031R00001vQs6mQAC,Responded,1,1,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,11/7/18 7:25,2018-10-22
00v1R00001RRfYmQAL,0,Test-Drive,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:19,2018-10-29
00v1R00001RQoJDQA1,0,70136000000lpwoAAA,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 15:50,2018-10-22
00v1R00001RQoJXQA1,0,70136000000lucWAAQ,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 15:51,2018-10-22
00v1R00001RQoJcQAL,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 15:51,2018-10-22
00v1R00001RRfyMQAT,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 7:39,2018-10-30
00v1R00001RRhDeQAL,0,Benchmark-Report,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 17:24,2018-10-30
00v1R00001RRfZsQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZrQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZlQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZpQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZnQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZoQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZqQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZtQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZkQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfZmQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:51,2018-10-29
00v1R00001RRfyRQAT,0,Free-Trial,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 7:54,2018-10-30
00v1R00001RQoKuQAL,0,701360000008XDMAA2,,0031R00001uoSM0QAM,Sent,0,1,2018-10-22,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,10/22/18 16:04,
00v1R00001RRfZfQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:50,2018-10-29
00v1R00001RRfZuQAL,0,701360000008UYFAA2,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 2:54,2018-10-29
00v1R00001RRg0hQAD,0,Benchmark-Report,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 9:22,2018-10-30
00v1R00001RRg0mQAD,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 9:27,2018-10-30
00v1R00001RRg0rQAD,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 9:42,2018-10-30
00v1R00001RQqMlQAL,0,Developer-Edition,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 19:31,2018-10-22
00v1R00001RQqrdQAD,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 21:46,2018-10-22
00v1R00001RQqVDQA1,0,Developer-Edition,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 20:29,2018-10-22
00v1R00001RQqqVQAT,0,70136000000lpweAAA,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 21:26,2018-10-22
00v1R00001RQqvpQAD,0,70136000000lucWAAQ,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:38,2018-10-22
00v1R00001RQqwCQAT,0,Benchmark-Report,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RRbYiQAL,0,701360000008Vo9AAE,,,Responded,1,0,2018-10-29,00536000006DZLrAAO,2018-10-29,00536000006DZLrAAO,10/29/18 16:29,2018-10-29
00v1R00001RQqw3QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqw4QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqw5QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqw6QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqw8QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqw9QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqwAQAT,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqwBQAT,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 22:39,2018-10-22
00v1R00001RQqdpQAD,0,701360000008XDMAA2,,,Sent,0,0,2018-10-22,0053600000D5mROAAZ,2018-10-22,0053600000D5mROAAZ,10/22/18 20:51,
00v1R00001RQwLnQAL,0,Test-Drive,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 5:05,2018-10-23
00v1R00001RQwLoQAL,0,701360000011bWLAAY,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 5:05,2018-10-23
00v1R00001RQwLpQAL,0,Free-Trial,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 5:05,2018-10-23
00v1R00001RQwLqQAL,0,Benchmark-Report,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 5:05,2018-10-23
00v1R00001RQwLrQAL,0,701360000011khcAAA,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 5:05,2018-10-23
00v1R00001RQwLsQAL,0,Developer-Edition,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 5:05,2018-10-23
00v1R00001RQqx5QAD,0,701360000008UYFAA2,,,Responded,1,0,2018-10-22,00536000006DZLrAAO,2018-10-22,00536000006DZLrAAO,10/22/18 23:01,2018-10-22
00v1R00001RQrJ6QAL,0,Benchmark-Report,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 1:14,2018-10-22
00v1R00001RQwuyQAD,0,701360000008Vo9AAE,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 14:45,2018-10-24
00v1R00001RQww1QAD,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 14:51,2018-10-24
00v1R00001RQrJBQA1,0,Developer-Edition,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 1:20,2018-10-22
00v1R00001RQrYQQA1,0,Benchmark-Report,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 3:10,2018-10-22
00v1R00001RQraHQAT,0,70136000000lsymAAA,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 4:57,2018-10-22
00v1R00001RQrb5QAD,0,Developer-Edition,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 5:44,2018-10-22
00v1R00001RQrdfQAD,0,Test-Drive,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 10:04,2018-10-23
00v1R00001RQrdpQAD,0,Free-Trial,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 10:11,2018-10-23
00v1R00001UeNy8QAF,0,70136000000lpwoAAA,,,Responded,1,0,2018-11-12,00536000006DZLrAAO,2018-11-12,00536000006DZLrAAO,11/12/18 14:49,2018-11-12
00v1R00001RRgVsQAL,0,701360000011bW1AAI,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 14:25,2018-10-30
00v1R00001RRgWHQA1,0,701360000011bW1AAI,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 14:28,2018-10-30
00v1R00001RQrhhQAD,0,Benchmark-Report,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 13:39,2018-10-23
00v1R00001RQrr5QAD,0,701360000008Vo9AAE,,,Attended,1,0,2018-10-23,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 22:27,2018-10-23
00v1R00001RRnIXQA1,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-31,00536000006DZLrAAO,2018-10-31,00536000006DZLrAAO,10/31/18 18:21,2018-10-31
00v1R00001RQrr4QAD,0,701360000008Vo9AAE,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 15:59,2018-10-23
00v1R00001RQrr3QAD,0,701360000008Vo9AAE,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 15:59,2018-10-23
00v1R00001RSLMvQAP,0,Benchmark-Report,,,Responded,1,0,2018-11-06,00536000006DZLrAAO,2018-11-06,00536000006DZLrAAO,11/6/18 0:59,2018-11-05
00v1R00001RSLN0QAP,0,Developer-Edition,,,Responded,1,0,2018-11-06,00536000006DZLrAAO,2018-11-06,00536000006DZLrAAO,11/6/18 0:59,2018-11-05
00v1R00001RQrr2QAD,0,701360000008Vo9AAE,,,Attended,1,0,2018-10-23,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 22:33,2018-10-23
00v1R00001RQriQQAT,0,Benchmark-Report,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 13:54,2018-10-23
00v1R00001RQrtJQAT,0,Developer-Edition,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 16:24,2018-10-23
00v1R00001RQrueQAD,0,70136000000lpwoAAA,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 16:31,2018-10-23
00v1R00001RQruyQAD,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 16:33,2018-10-23
00v1R00001RQrvhQAD,0,Test-Drive,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 16:37,2018-10-23
00v1R00001RQrwaQAD,0,Benchmark-Report,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 16:46,2018-10-23
00v1R00001RQry7QAD,0,Test-Drive,,,Responded,1,0,2018-10-23,00536000006DZLrAAO,2018-10-23,00536000006DZLrAAO,10/23/18 17:12,2018-10-23
00v1R00001RRbZbQAL,0,701360000008Vo9AAE,,,On Demand,1,0,2018-10-29,00536000006DZLrAAO,2018-11-01,00536000006DZLrAAO,11/1/18 9:16,2018-10-29
00v1R00001RRgHSQA1,0,Developer-Edition,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 12:43,2018-10-30
00v1R00001RRgvbQAD,0,Developer-Edition,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 15:46,2018-10-30
00v1R00001RRhJ6QAL,0,Benchmark-Report,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 18:17,2018-10-30
00v1R00001RRh5zQAD,0,70136000000lpwoAAA,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 16:50,2018-10-30
00v1R00001RQs9xQAD,0,701360000008Vo9AAE,,,Attended,1,0,2018-10-23,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 22:35,2018-10-23
00v1R00001RRhW4QAL,0,701360000011bW1AAI,,0031R00001vSCAHQA4,Responded,1,1,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,11/14/18 20:31,2018-10-30
00v1R00001RRhdZQAT,0,Benchmark-Report,,,Responded,1,0,2018-10-30,00536000006DZLrAAO,2018-10-30,00536000006DZLrAAO,10/30/18 23:20,2018-10-30
00v1R00001RRhgJQAT,0,7011R0000008XdyQAE,,,Responded,1,0,2018-10-31,00536000006DZLrAAO,2018-10-31,00536000006DZLrAAO,10/31/18 0:33,2018-10-30
00v1R00001RQwK0QAL,0,Benchmark-Report,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 2:54,2018-10-23
00v1R00001RRWRXQA5,0,70136000000lpwoAAA,,,Responded,1,0,2018-10-27,00536000006DZLrAAO,2018-10-27,00536000006DZLrAAO,10/27/18 1:00,2018-10-26
00v1R00001RSZKFQA5,0,Developer-Edition,,,Responded,1,0,2018-11-07,00536000006DZLrAAO,2018-11-07,00536000006DZLrAAO,11/7/18 2:04,2018-11-06
00v1R00001RRi3sQAD,0,Developer-Edition,,,Responded,1,0,2018-10-31,00536000006DZLrAAO,2018-10-31,00536000006DZLrAAO,10/31/18 1:44,2018-10-30
00v1R00001RQwLNQA1,0,Benchmark-Report,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 4:41,2018-10-23
00v1R00001RQwMOQA1,0,70136000000m4ZIAAY,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 6:00,2018-10-23
00v1R00001RQvw3QAD,0,Developer-Edition,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 1:31,2018-10-23
00v1R00001RRaliQAD,0,701360000011hoxAAA,,,Responded,1,0,2018-10-29,00536000006DZLrAAO,2018-10-29,00536000006DZLrAAO,10/29/18 2:17,2018-10-28
00v1R00001RQvw8QAD,0,70136000000lmENAAY,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 1:32,2018-10-23
00v1R00001RQvwDQAT,0,70136000000lmENAAY,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 1:33,2018-10-23
00v1R00001RRiFBQA1,0,Free-Trial,,0031R00001vQYGKQA4,Responded,1,1,2018-10-31,00536000006DZLrAAO,2018-10-31,00536000006DZLrAAO,11/5/18 10:22,2018-10-30
00v1R00001RQwMsQAL,0,Benchmark-Report,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 7:17,2018-10-24
00v1R00001RQwUIQA1,0,Free-Trial,,,Responded,1,0,2018-10-24,00536000006DZLrAAO,2018-10-24,00536000006DZLrAAO,10/24/18 12:02,2018-10-24
00v1R00001RRBYDQA5,0,Developer-Edition,,,Responded,1,0,2018-10-25,00536000006DZLrAAO,2018-10-25,00536000006DZLrAAO,10/25/18 14:00,2018-10-25
00v1R00001RRiGTQA1,0,Developer-Edition,,,Responded,1,0,2018-10-31,00536000006DZLrAAO,2018-10-31,00536000006DZLrAAO,10/31/18 2:29,2018-10-30
